	source_name	source_desc	source_values	source_type	target_name	target_values
0					project.project.id	{}
1					study.project_id	{'parent-ARIC_DS-CVD-IRB_': 1, 'parent-PCGC_DS-CHD_': 1, 'tutorial-biolincc_digitalis': 1, 'BioLINCC-BL_PIOPED_GRU': 1, 'parent-MGH_AF_DS-AF-IRB-RD_': 1, 'heartfailure-Fam_CHD_HMB': 1, 'topmed-IPF_HMB-IRB-NPU': 1, 'heartfailure-Fam_DC_DS-FDC': 1, 'parent-GALAII_DS-LD-IRB-COL_': 1, 'BioLINCC-BL_BHS_HMB-MDS': 1}
2	dbgap_accnum	The unique identifier for a dbGaP study.	{'phs003738.v1.p1.c1': 1}	string	study.submitter_id	{'phs000280.v8.p2.c2': 1, 'phs001194.v4.p3.c2': 1, 'biolincc_digitalis_study': 1, 'phs004020.v1.p1.c1': 1, 'phs001001.v1.p1.c2': 1, 'phs000758.v1.p1.c1': 1, 'phs001607.v4.p3.c5': 1, 'phs000581.v1.p1.c1': 1, 'phs001180.v2.p1.c2': 1, 'phs004173.v1.p1.c1': 1}
3	Accession	The accession number of the dbGaP study, which is the phs number prefixed with 'phs' and including the version, consent group, and participant set numbers (e.g., phs123456.v1.p1.c1).	{'phs003738.v1.p1': 1}	string	study.dbgap_accession	{}
4	c	The c number denotes the consent group, which contains data from a set of participants who have all signed the same consent agreement. A study with multiple consent groups will have multiple consent group numbers (e.g., .c1, .c2). Data delivered for a single consent group will have the same Data Use Limitations (DULs).	{'c1': 1}	string	study.dbgap_consent	{'c1': 284, 'c2': 75, 'c3': 15, 'c4': 12}
5	ConsentGroup	Text code that indicates data use restrictions (e.g., GRU=general research, HMB=health/biomedical only, DS-X=disease-specific, NPU=non-profit use, IRB=requires ethics approval) per Data Use Ontology (DUO).	{'HMB-NPU-MDS': 1}	string	study.dbgap_consent_text	{'GRU': 130, 'HMB': 37, 'HMB-MDS': 26, 'HMB-IRB': 15, 'HMB-NPU': 14, 'HMB-NPU-MDS': 9, 'HMB-IRB-NPU': 7, 'HMB-IRB-MDS': 7, 'DS-CVD-IRB': 7, 'DS-ASTHMA-IRB-COL': 6, 'HMB-IRB-NPU-MDS': 6, 'DS-CVD': 6, 'GRU-IRB': 5, 'DS-CVD-MDS': 5, 'DS-CVD-NPU-MDS': 5, 'DS-LD-IRB-COL': 4, 'DS-CS': 4}
6	p	The p number, also known as the 'participant set version', identifies a specific group of participants within a study. The number is incremented when the consent status of subjects in an existing study set changes, but not when new subjects are simply added.	{'p1': 1}	string	study.dbgap_participant_set	{'p1': 306, 'p2': 64, 'p3': 17, 'p5': 4}
7	phs	The phs ID of the dbGaP study; phs stands for Phenotype Study and indicates that the accession number is for a dbGaP study.	{'phs003738': 1}	string	study.dbgap_phs	{'phs001927': 8, 'phs002909': 8, 'phs001607': 6, 'phs000286': 4, 'phs003639': 4, 'phs000964': 4, 'phs001368': 4, 'phs002913': 4, 'phs003740': 4, 'phs002907': 4, 'phs003747': 4, 'phs000287': 4}
8	v	The v number is the study's version number. This number is incremented when changes are made to existing data or new data is added to a study.	{'v1': 1}	string	study.dbgap_version	{'v1': 224, 'v2': 55, 'v3': 39, 'v4': 23, 'v5': 17, 'v6': 16, 'v7': 10, 'v8': 5}
9	Title	The title of the dbGaP study.	{'Atherosclerosis Risk in Communities Study (ARIC-BioLINCC)': 1}	string	study.full_name	{'NHLBI TOPMed: Coronary Artery Risk Development in Young Adults (CARDIA)': 9, 'Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Subpopulations and Intermediate Outcome Measures in COPD Study (SPIROMICS)': 7, 'NHLBI TOPMed: Pulmonary Fibrosis Whole Genome Sequencing': 6, 'Jackson Heart Study (JHS) Cohort': 4, 'Cardiovascular Health Study (CHS) - Imaging': 4, 'NHLBI TOPMed: The Jackson Heart Study (JHS)': 4, 'NHLBI TOPMed: Trans-Omics for Precision Medicine (TOPMed) Whole Genome Sequencing Project: Cardiovascular Health Study': 4, 'The Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Severe Asthma Research Program (SARP)': 4, 'Jackson Heart Study (JHS-BioLINCC)': 4, 'Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Jackson Heart Study (JHS)': 4, 'Jackson Heart Study - Images': 4, 'Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older': 4}
