	target_name	target_desc	target_values	target_type
0	project.project.id	project.The unique identifier for this record in the 'project' table.	{}	string
1	study.project_id	study.Foreign key relating 'study' data to 'projects'.	{'parent-ARIC_DS-CVD-IRB_': 1, 'parent-PCGC_DS-CHD_': 1, 'tutorial-biolincc_digitalis': 1, 'BioLINCC-BL_PIOPED_GRU': 1, 'parent-MGH_AF_DS-AF-IRB-RD_': 1, 'heartfailure-Fam_CHD_HMB': 1, 'topmed-IPF_HMB-IRB-NPU': 1, 'heartfailure-Fam_DC_DS-FDC': 1, 'parent-GALAII_DS-LD-IRB-COL_': 1, 'BioLINCC-BL_BHS_HMB-MDS': 1}	string
2	study.submitter_id	study.The unique identifier for this record in the 'study' table.	{'phs000280.v8.p2.c2': 1, 'phs001194.v4.p3.c2': 1, 'biolincc_digitalis_study': 1, 'phs004020.v1.p1.c1': 1, 'phs001001.v1.p1.c2': 1, 'phs000758.v1.p1.c1': 1, 'phs001607.v4.p3.c5': 1, 'phs000581.v1.p1.c1': 1, 'phs001180.v2.p1.c2': 1, 'phs004173.v1.p1.c1': 1}	string
3	study.dbgap_accession	study.The dbgap accession number provided for the project (example, phs123456.v1.p1.c1).	{}	string
4	study.dbgap_consent	study.The dbGaP consent number (example, c1).	{'c1': 284, 'c2': 75, 'c3': 15, 'c4': 12}	string
5	study.dbgap_consent_text	study.The dbGaP consent text (example, HMB-IRB).	{'GRU': 130, 'HMB': 37, 'HMB-MDS': 26, 'HMB-IRB': 15, 'HMB-NPU': 14, 'HMB-NPU-MDS': 9, 'HMB-IRB-NPU': 7, 'HMB-IRB-MDS': 7, 'DS-CVD-IRB': 7, 'DS-ASTHMA-IRB-COL': 6, 'HMB-IRB-NPU-MDS': 6, 'DS-CVD': 6, 'GRU-IRB': 5, 'DS-CVD-MDS': 5, 'DS-CVD-NPU-MDS': 5, 'DS-LD-IRB-COL': 4, 'DS-CS': 4}	string
6	study.dbgap_participant_set	study.The dbGaP participant set (example, p1).	{'p1': 306, 'p2': 64, 'p3': 17, 'p5': 4}	string
7	study.dbgap_phs	study.The dbGaP phs accession (example, phs123456).	{'phs001927': 8, 'phs002909': 8, 'phs001607': 6, 'phs000286': 4, 'phs003639': 4, 'phs000964': 4, 'phs001368': 4, 'phs002913': 4, 'phs003740': 4, 'phs002907': 4, 'phs003747': 4, 'phs000287': 4}	string
8	study.dbgap_version	study.The dbGaP version (example, v1).	{'v1': 224, 'v2': 55, 'v3': 39, 'v4': 23, 'v5': 17, 'v6': 16, 'v7': 10, 'v8': 5}	string
9	study.full_name	study.The full name for the project.	{'NHLBI TOPMed: Coronary Artery Risk Development in Young Adults (CARDIA)': 9, 'Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Subpopulations and Intermediate Outcome Measures in COPD Study (SPIROMICS)': 7, 'NHLBI TOPMed: Pulmonary Fibrosis Whole Genome Sequencing': 6, 'Jackson Heart Study (JHS) Cohort': 4, 'Cardiovascular Health Study (CHS) - Imaging': 4, 'NHLBI TOPMed: The Jackson Heart Study (JHS)': 4, 'NHLBI TOPMed: Trans-Omics for Precision Medicine (TOPMed) Whole Genome Sequencing Project: Cardiovascular Health Study': 4, 'The Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Severe Asthma Research Program (SARP)': 4, 'Jackson Heart Study (JHS-BioLINCC)': 4, 'Collaborative Cohort of Cohorts for COVID-19 Research (C4R): Jackson Heart Study (JHS)': 4, 'Jackson Heart Study - Images': 4, 'Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older': 4}	string
